latitude,longitude,event_type_code,event_type,data_id,fatalities,data_id
36.5295,71.3441,2,Battle-No change of territory,13308378,105,1724830
34.9844,70.9051,2,Battle-No change of territory,10072971,37,1724603
34.5167,69.1833,2,Battle-No change of territory,78633387,523,1724816
33.0517,66.7421,2,Battle-No change of territory,76785181,617,1724638
34.3956,68.8662,2,Battle-No change of territory,70187638,261,1724656
36.7564,66.8972,7,Riots/Protests,7955023,0,1724667
33.9953,69.0227,6,Remote violence,46400467,138,1724680
36.06,64.97,2,Battle-No change of territory,52273657,263,1724817
33.4378,69.0277,6,Remote violence,14695655,57,1724805
32.0849,66.0004,2,Battle-No change of territory,82896068,575,1724705
35.9213,64.7841,7,Riots/Protests,19637724,1,1724718
35.6875,64.2932,2,Battle-No change of territory,42905870,264,1724770
32.3823,66.3382,6,Remote violence,1724775,4,1724775
34.4708,68.6544,6,Remote violence,10425458,61,1724779
32.1058,66.9083,6,Remote violence,24696027,89,1724780
31.5938,64.3716,2,Battle-No change of territory,244008021,1225,1724781
32.4457,64.7449,2,Battle-No change of territory,10723319,41,1724568
36.7081,71.5729,2,Battle-No change of territory,9736245,193,1724577
32.6232,65.4579,2,Battle-No change of territory,51031554,301,1724585
32.4878,62.0576,2,Battle-No change of territory,40749950,220,1724593
31.6323,64.2645,2,Battle-No change of territory,132918531,732,1724605
31.8209,64.57,2,Battle-No change of territory,142594146,767,1724609
34.9504,70.071,2,Battle-No change of territory,5884317,18,1724620
33.9953,69.0227,2,Battle-No change of territory,184817222,483,1724680
36.7341,69.5336,7,Riots/Protests,7878855,0,1724651
31.5938,64.3716,6,Remote violence,79805140,320,1724781
31.8209,64.57,6,Remote violence,67557512,352,1724609
32.9299,66.6891,2,Battle-No change of territory,72576201,371,1724738
32.0728,64.8359,6,Remote violence,62774722,311,1724740
32.6268,65.8733,2,Battle-No change of territory,295763119,1732,1724741
35.0164,69.3445,2,Battle-No change of territory,81455583,180,1724745
34.2774,70.3618,2,Battle-No change of territory,76402145,395,1724756
34.1032,70.4607,2,Battle-No change of territory,113561968,621,1724757
34.2001,70.2781,2,Battle-No change of territory,44936395,178,1724758
35.9339,66.593,9,Violence against civilians,4534165,20,1724760
36.729,68.857,7,Riots/Protests,14905716,0,1724769
32.7933,69.0866,2,Battle-No change of territory,12861683,68,1724813
34.1996,70.1622,6,Remote violence,4474169,21,1724567
33.3029,62.1474,2,Battle-No change of territory,78289026,461,1724576
32.1082,61.3779,2,Battle-No change of territory,11857098,38,1724699
34.4167,70.35,6,Remote violence,12024208,114,1724806
31.3918,64.319,2,Battle-No change of territory,80246785,635,1724713
32.0728,64.8359,2,Battle-No change of territory,115622724,772,1724740
33.3156,66.5997,2,Battle-No change of territory,1724719,4,1724719
33.4333,70.1167,2,Battle-No change of territory,7792133,33,1724724
34.2998,70.378,6,Remote violence,193219424,1341,1724828
35.7121,65.2258,2,Battle-No change of territory,13532005,72,1724754
31.7333,65.1333,2,Battle-No change of territory,120549232,751,1724791
33.4657,68.9581,6,Remote violence,1724801,4,1724801
31.5667,66.5,2,Battle-No change of territory,13659210,121,1724827
34.5167,69.1833,9,Violence against civilians,49091333,591,1724816
32.3745,62.1164,2,Battle-No change of territory,159914787,972,1724574
34.4708,68.6544,2,Battle-No change of territory,29519038,92,1724779
37.3361,66.82,2,Battle-No change of territory,4812811,25,1724611
35.0636,64.1492,2,Battle-No change of territory,4795475,19,1724614
33.4582,69.995,6,Remote violence,10226025,31,1724625
35.22,71.5228,6,Remote violence,12847366,17,1724826
36.691,68.7965,2,Battle-No change of territory,38350229,183,1724819
35.2118,71.5307,2,Battle-No change of territory,1724633,2,1724633
32.6357,62.4654,3,Battle-Non-state actor overtakes territory,1724659,12,1724797
36.0841,65.3879,2,Battle-No change of territory,45839726,299,1724669
34.5167,69.1833,6,Remote violence,71650640,37,1724816
31.5292,62.7905,2,Battle-No change of territory,21368750,119,1724672
32.9411,69.18,6,Remote violence,10147077,37,1724677
34.2435,70.7285,2,Battle-No change of territory,76136636,215,1724684
34.0923,70.469,2,Battle-No change of territory,153911020,829,1724728
34.1959,70.8318,2,Battle-No change of territory,45279991,142,1724690
32.1058,66.9083,2,Battle-No change of territory,89982248,312,1724780
33.4362,70.0671,2,Battle-No change of territory,4548944,18,1724711
32.928,65.4813,2,Battle-No change of territory,28551594,140,1724735
34.2944,69.8166,2,Battle-No change of territory,17005696,55,1724750
34.3482,62.1997,7,Riots/Protests,31957138,0,1724767
33.5748,68.1941,3,Battle-Non-state actor overtakes territory,3330762,24,1724660
34.1061,68.5794,2,Battle-No change of territory,38279245,162,1724785
33.0517,66.7421,9,Violence against civilians,4690287,4,1724638
32.9299,66.6891,6,Remote violence,22267770,142,1724738
32.6278,62.5312,2,Battle-No change of territory,1721259,20,1721259
37.1166,70.58,2,Battle-No change of territory,80399782,239,1721260
34.9874,63.1289,2,Battle-No change of territory,104282895,273,1721261
36.7564,66.8972,2,Battle-No change of territory,63194680,108,1724667
33.5552,68.3845,2,Battle-No change of territory,4911131,17,1721264
35.9213,64.7841,2,Battle-No change of territory,159543328,492,1724718
31.6133,65.7101,2,Battle-No change of territory,146655284,635,1724726
36.729,68.857,2,Battle-No change of territory,167987021,776,1724769
34.4265,70.4515,2,Battle-No change of territory,217311596,1015,1724829
33.5974,69.2259,2,Battle-No change of territory,138836034,480,1721272
36.1201,68.6819,2,Battle-No change of territory,20999438,104,1724569
37.0037,66.6896,2,Battle-No change of territory,1724570,1,1724570
36.7598,66.7227,2,Battle-No change of territory,22967572,80,1724595
36.2647,68.0155,7,Riots/Protests,7852322,0,1724606
33.5508,68.4225,6,Remote violence,83017471,145,1724812
33.4618,70.2172,2,Battle-No change of territory,1724610,0,1724610
37.3841,69.4529,3,Battle-Non-state actor overtakes territory,1724612,0,1724612
34.5884,68.958,6,Remote violence,4760909,7,1724615
35.0164,69.3445,9,Violence against civilians,6526778,9,1724745
34.4018,69.5041,8,Strategic development,3107116,0,1724624
35.9213,64.7841,9,Violence against civilians,4507922,3,1724718
33.9953,69.0227,8,Strategic development,4772240,3,1724680
34.2435,70.7285,8,Strategic development,6252587,0,1724684
33.3156,68.4537,2,Battle-No change of territory,1724639,3,1724639
33.5974,69.2259,6,Remote violence,24919682,118,1721272
34.9168,70.0952,2,Battle-No change of territory,61279546,178,1724648
34.2118,69.0999,2,Battle-No change of territory,19389112,56,1724663
35.9446,68.7151,2,Battle-No change of territory,141106625,406,1724675
35.9774,65.3783,9,Violence against civilians,13079886,25,1724824
32.8201,67.7693,2,Battle-No change of territory,62372366,272,1724733
33.5239,67.2058,2,Battle-No change of territory,16006001,130,1724734
33.6881,68.4019,2,Battle-No change of territory,14159405,39,1724742
34.9789,69.5724,2,Battle-No change of territory,20363262,41,1724748
34.2779,69.7996,2,Battle-No change of territory,1724749,5,1724749
32.6268,65.8733,7,Riots/Protests,25363371,0,1724741
33.5508,68.4225,7,Riots/Protests,21840361,0,1724812
30.9667,61.8833,7,Riots/Protests,7099670,0,1724761
34.8529,69.1706,6,Remote violence,4740551,4,1724782
31.6323,64.2645,6,Remote violence,46218110,262,1724605
34.0397,70.93,2,Battle-No change of territory,41496804,215,1721237
31.985,65.4728,2,Battle-No change of territory,52418443,317,1721240
33.7218,66.1302,2,Battle-No change of territory,3143177,11,1721241
34.3482,62.1997,2,Battle-No change of territory,72083737,162,1724767
34.9874,63.1289,6,Remote violence,9086156,8,1721261
32.6357,62.4654,9,Violence against civilians,8665889,13,1724797
32.4457,64.7449,6,Remote violence,16756012,155,1724568
36.0353,68.6454,2,Battle-No change of territory,15670300,58,1724575
34.7602,69.4686,2,Battle-No change of territory,1724581,1,1724581
31.7333,65.1333,6,Remote violence,34502962,151,1724791
33.4378,69.0277,8,Strategic development,1724589,0,1724805
32.6232,65.4579,6,Remote violence,14889330,67,1724585
36.2553,64.8138,2,Battle-No change of territory,50989667,169,1724632
37.3841,69.4529,2,Battle-No change of territory,25943828,126,1724612
32.63,66.7772,2,Battle-No change of territory,21998620,137,1724778
36.2553,64.8138,3,Battle-Non-state actor overtakes territory,4517199,15,1724632
33.7717,69.3839,2,Battle-No change of territory,1721196,26,1721196
33.5302,69.0485,2,Battle-No change of territory,1721197,36,1721197
35.1092,69.4334,2,Battle-No change of territory,4504455,9,1721199
32.4269,65.6371,6,Remote violence,10148420,92,1721202
32.6268,65.8733,6,Remote violence,90973141,557,1724741
31.6133,65.7101,3,Battle-Non-state actor overtakes territory,1721204,1,1724726
32.1058,66.9083,3,Battle-Non-state actor overtakes territory,1721205,0,1724780
32.3278,67.8886,6,Remote violence,13785124,77,1721210
32.3278,67.8886,2,Battle-No change of territory,22087631,94,1721210
33.6976,68.1476,2,Battle-No change of territory,3392317,3,1721212
33.4091,68.212,2,Battle-No change of territory,27480391,144,1721213
32.5215,67.4132,3,Battle-Non-state actor overtakes territory,3129600,22,1724807
37.0635,70.4253,3,Battle-Non-state actor overtakes territory,1721223,0,1721223
36.8236,66.4577,3,Battle-Non-state actor overtakes territory,3442251,0,1721224
36.8363,66.373,3,Battle-Non-state actor overtakes territory,1721227,0,1721227
34.4167,70.35,3,Battle-Non-state actor overtakes territory,4510269,14,1724806
33.8979,67.9565,2,Battle-No change of territory,1721229,10,1721229
31.5292,62.7905,6,Remote violence,4558848,12,1724672
31.5667,66.5,6,Remote violence,4767356,21,1724827
34.1032,70.4607,9,Violence against civilians,4585563,44,1724757
34.1959,70.8318,6,Remote violence,17534509,62,1724690
32.63,66.7772,6,Remote violence,4757653,42,1724778
33.5212,64.4212,2,Battle-No change of territory,8706974,117,1721170
32.6542,62.1043,6,Remote violence,14480164,106,1721172
32.5215,67.4132,6,Remote violence,14302246,59,1724807
35.3217,69.0254,7,Riots/Protests,1721174,0,1721174
31.5938,64.3716,7,Riots/Protests,31275481,2,1724781
32.2174,67.5673,6,Remote violence,3098909,24,1721179
36.2154,65.9325,7,Riots/Protests,4984188,0,1721182
31.0081,66.3981,6,Remote violence,3124253,11,1721187
34.2118,69.0999,6,Remote violence,21840618,46,1724663
32.7269,67.637,2,Battle-No change of territory,43706851,119,1724788
33.56,68.3,2,Battle-No change of territory,7682793,32,1724558
33.1331,67.4536,2,Battle-No change of territory,1721139,7,1721139
34.4265,70.4515,9,Violence against civilians,25858161,53,1724829
32.6357,62.4654,6,Remote violence,20514604,75,1724797
32.3745,62.1164,6,Remote violence,33847039,131,1724574
31.6133,65.7101,7,Riots/Protests,22055924,1,1724726
36.729,68.857,8,Strategic development,17331027,9,1724769
34.2435,70.7285,1,Battle-Government regains territory,1721148,6,1724684
36.2154,65.9325,6,Remote violence,9694427,27,1721182
32.0728,64.8359,8,Strategic development,5948561,2,1724740
34.5897,69.7625,1,Battle-Government regains territory,1721106,0,1721106
33.9953,69.0227,7,Riots/Protests,6106556,0,1724680
34.2435,70.7285,6,Remote violence,39215302,120,1724684
34.2635,70.0575,6,Remote violence,4767830,8,1721111
34.2774,70.3618,6,Remote violence,27099162,82,1724756
35.0399,63.2926,2,Battle-No change of territory,13402452,43,1721121
34.9145,65.2884,9,Violence against civilians,1721127,0,1721127
36.2154,65.9325,2,Battle-No change of territory,37053897,120,1721182
33.6881,68.4019,6,Remote violence,4538303,12,1724742
34.272,70.5679,2,Battle-No change of territory,64189394,264,1721050
34.0502,68.9937,6,Remote violence,3353701,14,1721052
37.0025,70.9066,2,Battle-No change of territory,9814700,28,1721053
34.1995,70.8585,1,Battle-Government regains territory,1721055,0,1721055
36.7564,66.8972,1,Battle-Government regains territory,1721056,4,1724667
36.7598,66.7227,1,Battle-Government regains territory,1721057,5,1724595
33.1422,63.8612,2,Battle-No change of territory,6181052,83,1721059
34.5195,65.2509,2,Battle-No change of territory,60204249,211,1721061
36.6782,66.8033,1,Battle-Government regains territory,3111737,55,1721065
34.0791,68.9792,6,Remote violence,3141785,3,1721067
36.729,68.857,6,Remote violence,46621780,223,1724769
34.8731,71.147,6,Remote violence,40905853,130,1724793
32.8472,68.4458,2,Battle-No change of territory,5900954,10,1721070
36.8236,66.4577,1,Battle-Government regains territory,1721072,34,1721224
35.1907,70.9948,7,Riots/Protests,1721076,0,1721076
32.8286,67.8074,2,Battle-No change of territory,1721083,21,1721083
37.1166,70.58,9,Violence against civilians,3323398,4,1721260
34.6714,70.2094,6,Remote violence,33645101,86,1721092
34.356,68.8036,2,Battle-No change of territory,31669213,99,1721096
33.6682,68.6008,2,Battle-No change of territory,21813128,66,1724554
36.6782,66.8033,2,Battle-No change of territory,56201112,297,1721065
36.6962,66.7228,2,Battle-No change of territory,4474146,23,1721019
34.9145,65.2884,6,Remote violence,1684397,1,1721127
36.709,67.1109,7,Riots/Protests,3316007,0,1721032
37.1167,65.1667,7,Riots/Protests,1721033,0,1721033
34.8714,62.5483,8,Strategic development,4532507,6,1721035
33.5317,70.0214,9,Violence against civilians,1721037,5,1721037
35.9024,68.4874,2,Battle-No change of territory,10084234,47,1721041
35.8462,64.5307,2,Battle-No change of territory,33687571,106,1721043
32.8384,68.0825,2,Battle-No change of territory,1721045,4,1721045
34.5195,65.2509,3,Battle-Non-state actor overtakes territory,1721046,0,1721061
35.0903,71.3925,2,Battle-No change of territory,1684366,3,1684366
32.7802,67.6215,6,Remote violence,3145290,4,1724553
31.9055,66.5167,6,Remote violence,3099003,6,1724773
35.4206,70.9226,7,Riots/Protests,4779496,0,1684380
34.8216,67.8273,7,Riots/Protests,5034182,0,1721026
32.6416,63.595,2,Battle-No change of territory,1721028,0,1721028
32.6542,62.1043,2,Battle-No change of territory,9448474,32,1721172
36.2154,65.9325,9,Violence against civilians,3319232,5,1721182
35.5635,67.8351,2,Battle-No change of territory,7519385,30,1684338
33.1948,63.7005,6,Remote violence,1684340,6,1684340
36.6782,66.8033,3,Battle-Non-state actor overtakes territory,3072204,1,1721065
36.6962,66.7228,3,Battle-Non-state actor overtakes territory,1684342,0,1721019
33.1422,63.8612,6,Remote violence,1684343,7,1721059
33.1316,63.9659,6,Remote violence,1684344,6,1684344
34.547,70.2444,2,Battle-No change of territory,17308186,44,1684348
35.3333,67.5,2,Battle-No change of territory,4512077,2,1684352
37.4212,70.6563,2,Battle-No change of territory,14584335,74,1684353
36.7341,69.5336,2,Battle-No change of territory,22903222,69,1724651
36.1343,69.1971,2,Battle-No change of territory,4556769,2,1684326
36.6962,66.7228,6,Remote violence,1684327,2,1721019
30.3149,63.4752,6,Remote violence,3067202,13,1684328
33.3029,62.1474,6,Remote violence,25068696,96,1724576
32.9833,67.9667,2,Battle-No change of territory,29155391,122,1684330
32.6268,65.8733,4,Headquarters or base established,1721024,0,1724741
34.9844,70.9051,6,Remote violence,26583291,114,1724603
34.0623,70.4135,6,Remote violence,3047568,10,1684282
36.1845,64.8753,2,Battle-No change of territory,3083672,7,1684284
35.9202,64.7809,6,Remote violence,20444474,129,1684285
34.4004,70.4628,2,Battle-No change of territory,3368508,5,1684286
31.1167,64.2,6,Remote violence,23017847,142,1684291
34.9252,71.3069,6,Remote violence,1684299,1,1684299
33.3395,69.9204,2,Battle-No change of territory,53447330,159,1684307
34.6714,70.2094,2,Battle-No change of territory,104263512,534,1721092
30.9667,61.8833,2,Battle-No change of territory,37494915,139,1724761
33.1757,68.7304,6,Remote violence,23162639,44,1684317
34.0502,68.9937,2,Battle-No change of territory,3073790,21,1721052
34.5897,69.7625,2,Battle-No change of territory,27292738,81,1721106
37.4212,70.6563,8,Strategic development,1684267,0,1684353
33.198,68.108,6,Remote violence,39682854,102,1724823
34.5897,69.7625,6,Remote violence,12788206,34,1721106
34.6925,70.9264,2,Battle-No change of territory,12835249,52,1684223
35.3821,64.7566,6,Remote violence,8808405,62,1684224
32.3008,65.0964,6,Remote violence,6129213,13,1721014
35.9774,65.3783,8,Strategic development,4480104,0,1724824
36.6676,65.7529,2,Battle-No change of territory,60803228,180,1724731
36.1166,64.864,6,Remote violence,1684259,0,1684259
33.3883,68.3201,6,Remote violence,1684260,5,1684260
33.6457,62.2696,7,Riots/Protests,1684264,0,1684264
37.2216,69.4975,2,Battle-No change of territory,15369557,86,1724832
37.1333,69.45,2,Battle-No change of territory,1671244,6,1671244
35.9446,68.7151,7,Riots/Protests,11224679,0,1724675
34.4708,68.6544,8,Strategic development,1671246,3,1724779
35.0187,64.2031,6,Remote violence,1684208,6,1684208
35.0636,64.1492,6,Remote violence,3355443,18,1724614
34.2072,69.2521,2,Battle-No change of territory,3062567,4,1684212
33.2874,69.9128,7,Riots/Protests,1684215,0,1684215
33.3435,68.8297,2,Battle-No change of territory,1684218,3,1684218
33.4618,70.2172,6,Remote violence,5793776,15,1724610
35.0166,69.174,7,Riots/Protests,1671229,0,1671229
35.3821,64.7566,2,Battle-No change of territory,13252098,56,1684224
34.3697,63.1764,6,Remote violence,4450563,3,1671236
34.512,68.9444,2,Battle-No change of territory,3278834,3,1684193
34.1995,70.8585,6,Remote violence,13568984,66,1721055
34.2553,70.8657,2,Battle-No change of territory,41406138,173,1671243
34.5884,68.958,2,Battle-No change of territory,4453148,5,1724615
31.8209,64.57,7,Riots/Protests,3049640,0,1724609
35.1907,70.9948,6,Remote violence,4479965,59,1721076
37.3977,69.8146,2,Battle-No change of territory,4424437,13,1671201
34.3697,63.1764,2,Battle-No change of territory,24978988,54,1671236
33.3427,68.4365,6,Remote violence,1671208,2,1671208
33.3246,68.4407,6,Remote violence,22200050,85,1724579
34.1074,64.3052,9,Violence against civilians,1671211,0,1671211
35.4206,70.9226,2,Battle-No change of territory,23042952,98,1684380
33.7971,68.9375,6,Remote violence,18595782,73,1671214
33.1757,68.7304,2,Battle-No change of territory,73522968,197,1684317
35.0166,69.174,2,Battle-No change of territory,21318137,39,1671229
33.2977,68.4508,6,Remote violence,1671219,2,1671219
33.3753,69.4089,2,Battle-No change of territory,7271324,36,1671187
33.4582,69.995,2,Battle-No change of territory,23226115,72,1724625
36.0824,66.8408,8,Strategic development,1671190,0,1671190
33.306,68.4907,8,Strategic development,1671191,6,1671191
34.949,70.7822,3,Battle-Non-state actor overtakes territory,3342371,9,1724825
32.7631,68.3972,9,Violence against civilians,3100645,3,1671194
34.412,70.2963,2,Battle-No change of territory,31989188,55,1671151
32.9411,69.18,2,Battle-No change of territory,18908104,76,1724677
34.2236,69.1151,2,Battle-No change of territory,3265521,5,1671156
36.2647,68.0155,2,Battle-No change of territory,8867033,13,1724606
34.2941,69.1489,6,Remote violence,1671179,2,1671179
36.2135,64.8665,2,Battle-No change of territory,3068076,20,1671180
34.9874,63.1289,7,Riots/Protests,1671184,0,1721261
33.5223,68.6264,2,Battle-No change of territory,82389264,315,1671100
36.2911,64.8622,2,Battle-No change of territory,5892760,21,1671103
36.033,65.0178,2,Battle-No change of territory,1671106,3,1671106
35.7111,64.1004,2,Battle-No change of territory,1671107,4,1671107
36.033,65.0178,6,Remote violence,1671109,5,1671106
33.1003,68.3116,2,Battle-No change of territory,39079663,185,1671113
35.0178,71.0696,6,Remote violence,1671116,3,1671116
34.7054,63.3677,2,Battle-No change of territory,1671117,7,1671117
33.5974,69.2259,7,Riots/Protests,13808141,0,1721272
33.1757,68.7304,7,Riots/Protests,7671170,0,1684317
31.9748,69.2966,2,Battle-No change of territory,1671130,14,1671130
35.7258,63.7882,2,Battle-No change of territory,36861074,226,1671131
34.8731,71.147,7,Riots/Protests,10021694,0,1724793
35.4206,70.9226,6,Remote violence,10113475,11,1684380
32.3891,62.1309,9,Violence against civilians,1671068,2,1671068
32.9411,69.18,7,Riots/Protests,1671069,0,1724677
34.9109,71.1274,2,Battle-No change of territory,15623731,43,1671072
35.6666,63.3046,6,Remote violence,1671076,0,1671076
34.3956,68.8662,6,Remote violence,31392030,93,1724656
35.5839,63.329,6,Remote violence,1671079,0,1671079
36.0029,64.9033,6,Remote violence,1671086,3,1671086
34.3375,63.7397,2,Battle-No change of territory,18464165,76,1671098
34.2989,62.63,2,Battle-No change of territory,14668988,17,1640997
31.0058,66.4,6,Remote violence,7509038,10,1724792
36.1201,68.6819,6,Remote violence,5936258,34,1724569
36.06,64.97,8,Strategic development,6342650,0,1724817
35.248,63.0044,9,Violence against civilians,3022909,3,1640965
34.3482,62.1997,9,Violence against civilians,7211049,39,1724767
34.8432,62.9389,2,Battle-No change of territory,1668785,15,1668785
30.5443,66.2682,2,Battle-No change of territory,3281971,4,1640991
32.9374,68.6462,2,Battle-No change of territory,3042462,13,1640897
34.1995,70.8585,2,Battle-No change of territory,13155805,56,1721055
35.9587,65.4494,9,Violence against civilians,1640964,1,1640964
36.0666,68.5902,2,Battle-No change of territory,3235741,7,1640968
36.06,64.97,3,Battle-Non-state actor overtakes territory,3246956,23,1724817
34.4265,70.4515,7,Riots/Protests,14391185,0,1724829
34.9754,71.0896,6,Remote violence,1640978,5,1640978
34.9168,70.0952,6,Remote violence,23742680,70,1724648
34.6925,70.9264,6,Remote violence,9320397,44,1684223
33.3395,69.9204,7,Riots/Protests,14701352,0,1684307
31.0081,66.3981,2,Battle-No change of territory,11748554,115,1721187
35.9339,66.593,2,Battle-No change of territory,33034192,226,1724760
35.248,63.0044,2,Battle-No change of territory,13513485,46,1640965
35.6292,63.2985,2,Battle-No change of territory,3281891,14,1640954
31.4572,61.4993,2,Battle-No change of territory,1640957,7,1640957
31.2199,62.1494,2,Battle-No change of territory,1668784,7,1668784
34.4516,70.4589,6,Remote violence,23101979,35,1640996
35.2793,68.3789,2,Battle-No change of territory,15223643,147,1640877
32.1058,66.9083,7,Riots/Protests,8656339,0,1724780
32.8329,68.7005,2,Battle-No change of territory,1640947,9,1640947
35.9483,66.4213,2,Battle-No change of territory,12916944,58,1640948
33.1757,68.7304,9,Violence against civilians,3047549,2,1684317
36.8648,70.8342,2,Battle-No change of territory,14499229,113,1640912
32.7587,61.654,2,Battle-No change of territory,7416140,16,1640914
35.9202,64.7809,2,Battle-No change of territory,52337228,164,1684285
32.3823,66.3382,2,Battle-No change of territory,12879948,69,1724775
34.1875,70.8233,2,Battle-No change of territory,28842966,81,1640928
32.977,69.3731,2,Battle-No change of territory,21631012,118,1640930
33.2077,69.2389,2,Battle-No change of territory,1640931,0,1640931
33.1581,69.3128,2,Battle-No change of territory,5865518,10,1640933
36.0267,70.9415,2,Battle-No change of territory,28928910,194,1671049
33.3384,68.6035,2,Battle-No change of territory,4469842,13,1640904
33.2376,68.2109,2,Battle-No change of territory,6028044,8,1640906
33.1348,65.0607,2,Battle-No change of territory,1640908,13,1640908
34.7038,70.1537,2,Battle-No change of territory,62669144,302,1640910
34.5167,69.1833,8,Strategic development,34375119,3,1724816
34.272,70.5679,9,Violence against civilians,3009166,38,1721050
30.4321,63.298,2,Battle-No change of territory,4432383,8,1640875
34.8731,71.147,8,Strategic development,4641739,0,1724793
32.5138,62.8419,2,Battle-No change of territory,1641690,13,1641690
36.06,64.97,9,Violence against civilians,1641692,1,1724817
34.8914,71.1697,6,Remote violence,9941606,10,1641694
34.272,70.5679,6,Remote violence,46301197,233,1721050
35.4167,71.3333,9,Violence against civilians,1641699,0,1641699
31.7889,68.3981,2,Battle-No change of territory,3047174,6,1641700
32.0874,68.3772,2,Battle-No change of territory,5813425,13,1641701
33.301,67.1704,6,Remote violence,1671047,5,1671047
36.1161,66.0589,2,Battle-No change of territory,3007904,14,1641724
34.9109,71.1274,6,Remote violence,15591270,73,1671072
33.7445,69.4582,2,Battle-No change of territory,3022957,5,1636127
33.6906,69.3688,2,Battle-No change of territory,11479135,42,1636128
34.1032,70.4607,6,Remote violence,83402640,423,1724757
36.0612,65.8348,3,Battle-Non-state actor overtakes territory,3283578,16,1641763
35.9339,66.593,3,Battle-Non-state actor overtakes territory,3283580,17,1724760
30.9667,61.8833,6,Remote violence,5842270,12,1724761
33.5748,68.1941,6,Remote violence,13291352,26,1724660
35.3821,64.7566,3,Battle-Non-state actor overtakes territory,5819823,41,1684224
33.672,68.5727,6,Remote violence,1641820,3,1641820
33.5508,68.4225,8,Strategic development,10533581,0,1724812
35.9213,64.7841,6,Remote violence,13002876,18,1724718
37.4352,65.9714,2,Battle-No change of territory,1641861,3,1641861
34.2363,70.9733,8,Strategic development,1641863,0,1641863
32.1271,65.9256,2,Battle-No change of territory,3283795,163,1641864
31.6133,65.7101,8,Strategic development,16327166,1,1724726
36.7437,66.5308,6,Remote violence,3278133,10,1641872
35.8403,65.2309,2,Battle-No change of territory,11271269,39,1641873
32.7872,67.8026,2,Battle-No change of territory,1641874,4,1641874
37.0135,68.4476,2,Battle-No change of territory,20657882,138,1636262
36.905,66.1834,2,Battle-No change of territory,15579935,58,1632745
37.0659,69.4213,2,Battle-No change of territory,12899092,82,1632746
35.5839,63.329,2,Battle-No change of territory,18552315,91,1671079
36.6737,69.0628,2,Battle-No change of territory,1641900,2,1641900
35.9446,68.7151,8,Strategic development,6433396,2,1724675
33.3029,62.1474,9,Violence against civilians,7286856,14,1724576
33.3631,62.3414,2,Battle-No change of territory,3227555,40,1632726
34.0397,70.93,6,Remote violence,30019066,118,1721237
32.6296,62.4895,6,Remote violence,3000365,6,1632736
33.118,69.0156,2,Battle-No change of territory,15638334,48,1632738
32.6296,62.4895,9,Violence against civilians,1632739,0,1632736
