latitude,longitude,data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
33.7971,68.9375,CON1365661,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Logar,Charkh,0,Charkh,33.7971,68.9375,2,BBC Monitoring; Voice of Jihad,Other-national,"Taliban fighters attacked military forces in Charkh District, Logar Province, on the afternoon of January 2, 2018. 3 soldiers were killed or injured (half coded as fatalities).",1
35.9213,64.7841,CON1365664,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Faryab,Maymana,0,Maymana,35.9213,64.7841,3,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban claimed to have killed or injured 10 government soldiers (half coded as fatalities across 2 events) in a series of attacks in Kunduz and Faryab Provinces on January 2, 2018.",2
33.3029,62.1474,CON1365667,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Herat,Shindand,0,Shindand,33.3029,62.1474,2,BBC Monitoring; Herat TV,Subnational-national,"Clashes occurred between Taliban fighters and Afghan security forces in Shindand District, Herat Province, as reported on January 2, 2018. 2 militants were killed.",2
33.5508,68.4225,CON1365668,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,1,Pajhwok Afghan News,National,"Afghan military forces targeted Taliban fighters in ongoing ground and air operations in Andar District and on the outskirts of Ghazni City, Ghazni Province, on January 2, 2018. 6 militants were killed (coded across 2 events) and 5 others, including 2 commanders, were wounded. The government also claimed to have purged around 20 villages of the militants' presence.",3
33.3246,68.4407,CON1365669,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Andar,0,Miray,33.3246,68.4407,2,Pajhwok Afghan News,National,"Afghan military forces targeted Taliban fighters in ongoing ground and air operations in Andar District and on the outskirts of Ghazni City, Ghazni Province, on January 2, 2018. 6 militants were killed (coded across 2 events) and 5 others, including 2 commanders, were wounded. The government also claimed to have purged around 20 villages of the militants' presence.",3
33.5508,68.4225,CON1365671,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,3,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban claimed to have killed 12 government soldiers (5 coded in Logar and 2 in Paktika in separate events; remaining 5 coded in Ghazni) in a series of attacks in Logar, Ghazni, and Paktika Provinces on January 2, 2018.",5
34.7038,70.1537,CON1365672,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Laghman,Alishing,0,Alishing,34.7038,70.1537,2,BBC Monitoring; National Afghanistan TV; Bakhtar News Agency,Subnational-national,"Afghan military forces and Taliban fighters clashed in Alingar and Alishing Districts, Laghman Province, on the night of January 2, 2018. 8-10 Taliban fighters, including 2 commanders, were killed (coded across 2 events).",4
34.9168,70.0952,CON1365673,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Laghman,Alingar,0,Shahi,34.9168,70.0952,2,BBC Monitoring; National Afghanistan TV; Bakhtar News Agency,Subnational-national,"Afghan military forces and Taliban fighters clashed in Alingar and Alishing Districts, Laghman Province, on the night of January 2, 2018. 8-10 Taliban fighters, including 2 commanders, were killed (coded across 2 events).",4
34.356,68.8036,CON1594900,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Wardak,Nirkh,0,Kan-e Ezzat,34.356,68.8036,2,BBC Monitoring; Noor TV,Subnational-national,"Afghan military forces carried out ground and air operations against Taliban fighters in Nirkh District, Wardak Province, reported on January 4, 2018 as recent (coded over the last couple of days). 4 Taliban fighters were killed and 4 others wounded.",4
34.723,70.2616,CON1365677,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Laghman,Mehtar Lam,0,Bisram,34.723,70.2616,1,BBC Monitoring; Voice of Jihad; Khaama Press; Pajhwok Afghan News,Subnational-national,"Clashes occurred between Taliban fighters and Afghan military forces in the Bisram area of Mehtar Lam District, Laghman Province, on the night of January 2, 2018. 3 Taliban, including 2 senior commanders, were killed and 3 others wounded. An Afghan soldier was also killed and 3 others wounded. The Taliban claimed that 3 police were killed and 4 were injured, while only one militant was killed.",4
34.1959,70.8318,CON1365678,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-) Special Forces,0,Taliban,0,2,12,Southern Asia,Afghanistan,Nangarhar,Shinwar,0,Shinwar,34.1959,70.8318,2,Pajhwok Afghan News,National,"During clashes between Taliban militants and Afghan Special Forces on the afternoon of January 2, 2018, a mortar shell fired by Taliban rebels landed on a residential home in the 27th canal area of Shinwar District, Nangarhar Province. 1 civilian was killed and 5 others injured.",1
37.0635,70.4253,CON1602439,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Badakhshan,Argo,0,Argo,37.0635,70.4253,2,BBC Monitoring; Noor TV,Subnational-national,"Afghan military forces cleared 3 villages of suspected Taliban militants in Argo District, Badakshan Province, reported on January 2, 2018. Unknown fatalities coded as 10.",10
35.1183,69.2378,CON1365682,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Unidentified Armed Group (Afghanistan),0,3,13,Southern Asia,Afghanistan,Parwan,Jabal Saraj,0,Jabal Saraj,35.1183,69.2378,2,Pajhwok Afghan News,National,"Afghan security forces clashed with and killed an ""unauthorized gunmen commander"" in Jabal Saraj District, Parwan Province, on the morning of January 2, 2018.",1
34.5167,69.1833,CON1365660,2018 January,2,Battle-No change of territory,Unidentified Armed Group (Afghanistan),0,Police Forces of Afghanistan (2004-),0,1,13,Southern Asia,Afghanistan,Kabul,Kabul,0,Kabul,34.5167,69.1833,1,TOLONews,Subnational,"Unidentified armed men threw four grenades at a police checkpost in the Kot-e-Sangi area of Kabul City on the evening of January 2, 2018. 7 civilians were wounded.",0
32.7631,68.3972,CON1365663,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Paktika,Jani Khel,0,Jani Khel,32.7631,68.3972,2,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban reported attacking and killing 2 government soldiers in the Jani Khel area of Paktika Province on January 2, 2018.",2
36.729,68.857,CON1365666,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Kunduz,Kunduz,0,Kunduz,36.729,68.857,3,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban claimed to have killed or injured 10 government soldiers (half coded as fatalities across 2 events) in a series of attacks in Kunduz and Faryab Provinces on January 2, 2018.",3
34.2118,69.0999,CON1365670,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Logar,Mohammad Agha,0,Mohammad Agha,34.2118,69.0999,2,Pajhwok Afghan News,National,"Taliban fighters attacked a patrol of ANA soldiers in the Dahno area of Mohammad Agha District, Logar Province, on the morning of January 2, 2018. 3 soldiers and a civilian were killed; 1-2 other civilians were reported wounded.",4
32.0728,64.8359,CON1365681,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Sangin,0,Sangin,32.0728,64.8359,2,BBC Monitoring; Helmand Local Radio,Subnational-national,"Afghan joint forces targeted suspected Taliban militants in Sangin District, Helmand Province, over January 1 and 2, 2018. 10 militants, including 3 commanders, were killed and a mine-making factory was also destroyed. The Taliban reported on January 3, 2018 about similar operations. They claimed that 72 Afghan soldiers (5 coded in separate event), including 5 commanders; 23 Taliban fighters; and 7 villagers were killed. In addition, 33 other soldiers and 13 civilians were wounded. In a separately reported event in the same district, 6 soldiers were killed or injured (half considered fatalities; 100 total fatalities coded across 2 events).",50
34.4884,69.2184,CON1365440,2018 January,2,Battle-No change of territory,Unidentified Armed Group (Afghanistan),0,Police Forces of Afghanistan (2004-),0,1,13,Southern Asia,Afghanistan,Kabul,Kabul,0,Beni Hisar,34.4884,69.2184,1,TOLONews,Subnational,"An unclaimed suicide car bomber detonated his explosives near a police check post in the Beni Hisar area of Kabul District, Kabul Province, on the afternoon of January 3, 2018. The bomber was killed and a civilian was wounded.",1
33.5508,68.4225,CON1365444,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,3,BBC Monitoring; Ghaznawian TV,Subnational-national,"Reports on January 3, 2018, that Afghan security forces have launched mopping up operations in the capital and several districts of Ghazni Province. 3 suspected Taliban militants were killed (coded across 2 events) and several others wounded.",1
33.5508,68.4225,CON1365446,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Ghazni,33.5508,68.4225,1,BBC Monitoring; Ghaznawian TV,Subnational-national,"Reports on January 3, 2018, that Afghan security forces have launched mopping up operations in the capital and several districts of Ghazni Province. 3 suspected Taliban militants were killed (coded across 2 events) and several others wounded.",2
33.3474,62.3065,CON1594901,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Herat,Shindand,0,Qaryah-ye Mir Haidar,33.3474,62.3065,1,BBC Monitoring; Voice of Jihad,Other-national,"Taliban fighters ambushed Afghan military forces in the Qaryah-ye Mir Haidar area of Shindand District, Herat Province, on the afternoon of January 3, 2018, and followed the ambush with a tactical mine explosion. 7 Afghan soldiers were killed and 2 injured.",7
32.6268,65.8733,CON1594902,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,BBC Monitoring; National Afghanistan TV; Paiwastoon Ghag; Shamshad TV; Pajhwok Afghan News,Subnational-national,"Officials claim that joint police and army operations against the Taliban led to the reclaiming of the strategic Landa Kosa area of Tarinkot District, Urozgan Province. 30-40 Taliban were killed (coded across 2 events) and 10 wounded both on the night of January 5, 2018, when the government claimed victory, and in the few days of fighting prior. The Taliban rejected these claims.",15
34.1203,69.1393,CON1594903,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization; Police Forces of Afghanistan (2004-) National Directorate of Security,Taliban,0,2,12,Southern Asia,Afghanistan,Logar,Mohammad Agha,0,Zarghun Shahr,34.1203,69.1393,1,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban reported that joint Afghan and US NATO soldiers had raided Taliban positions on the night of January 3, 2018, in the Zarghun Shahr area of Mohammad Agha District, Logar Province. In the fighting, the Taliban reported to have killed 18 of their opponents.",18
33.5223,68.6264,CON1365450,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Dih Yak,0,Ramak,33.5223,68.6264,2,BBC Monitoring; Afghan Channel One (1TV); Pajhwok Afghan News,National,"Afghan military officials reported on January 7, 2018, about an offensive that had occurred over the past week in Andar and Dih Yak Districts, Ghazni Province. 30-50 Taliban were killed (12 coded in previous events) and 33 others wounded; 12 motorcycles and weapons were also confiscated. The Taliban confirmed clashes but claimed to have killed 19 government forces (4 coded in previous events; 33 total fatalities coded across 2 events) and wounded 24 others; only 7 Taliban were wounded.",16
33.3246,68.4407,CON1365452,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Andar,0,Miray,33.3246,68.4407,2,BBC Monitoring; Afghan Channel One (1TV); Pajhwok Afghan News,National,"Afghan military officials reported on January 7, 2018, about an offensive that had occurred over the past week in Andar and Dih Yak Districts, Ghazni Province. 30-50 Taliban were killed (12 coded in previous events) and 33 others wounded; 12 motorcycles and weapons were also confiscated. The Taliban confirmed clashes but claimed to have killed 19 government forces (4 coded in previous events; 33 total fatalities coded across 2 events) and wounded 24 others; only 7 Taliban were wounded.",17
37.189,68.9364,CON1365456,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban and/or Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Kunduz,Imam Sahib,0,Imam Sahib,37.189,68.9364,2,BBC Monitoring; Negah TV,Subnational-national,"Reports on January 5, 2018, of recent military operations (coded over the last few days) against suspected Taliban and/or IS militants in Imam Sahib District, Kunduz Province. 100 residential houses were destroyed and 2000 families displaced; heavy casualties reported (unknown fatalities coded as 10).",10
34.8085,63.43,CON1365256,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Badghis,Qadis,0,Qadis,34.8085,63.43,2,BBC Monitoring; Voice of Jihad,Other-national,"The Taliban claimed to have captured a security checkpoint and seized weapons in Qadis District, Badghis Province, reported on January 4, 2018. No fatalities reported.",0
34.0923,70.469,CON1365257,2018 January,2,Battle-No change of territory,Afghan and/or NATO Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Dih Bala,34.0923,70.469,2,Khaama Press,Subnational,"Ground operations and airstrikes by Afghan and/or NATO forces targeted IS training camps and compounds in the Esta Karan, Gorgori, and Shabi areas of Dih Bala District, Nangarhar Province, over the previous 48 hours (2 days), reported on January 5, 2018. 11 militants were killed in Gorgori, 5 in Esta Karan, and 5 in Shabi (21 total fatalities coded across coded across 3 locations and 2 days for 6 events).",3
34.1995,70.8585,CON1365258,2018 January,2,Battle-No change of territory,Afghan and/or NATO Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Gorgori,34.1995,70.8585,1,Khaama Press,Subnational,"Ground operations and airstrikes by Afghan and/or NATO forces targeted IS training camps and compounds in the Esta Karan, Gorgori, and Shabi areas of Dih Bala District, Nangarhar Province, over the previous 48 hours (2 days), reported on January 5, 2018. 11 militants were killed in Gorgori, 5 in Esta Karan, and 5 in Shabi (21 total fatalities coded across coded across 3 locations and 2 days for 6 events).",6
34.1056,70.3875,CON1365260,2018 January,2,Battle-No change of territory,Afghan and/or NATO Forces,0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Shabi,34.1056,70.3875,1,Khaama Press,Subnational,"Ground operations and airstrikes by Afghan and/or NATO forces targeted IS training camps and compounds in the Esta Karan, Gorgori, and Shabi areas of Dih Bala District, Nangarhar Province, over the previous 48 hours (2 days), reported on January 5, 2018. 11 militants were killed in Gorgori, 5 in Esta Karan, and 5 in Shabi (21 total fatalities coded across coded across 3 locations and 2 days for 6 events).",3
31.5938,64.3716,CON1365261,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Lashkargah,0,Lashkargah,31.5938,64.3716,3,BBC Monitoring; Afghanistan Television,Subnational-national,"A Taliban commander who operated in Khakrez District, Kandahar Province, was killed during a military operation in Helmand Province, as reported on January 4, 2018.",1
34.3375,63.7397,CON1365264,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Herat,Chishti Sharif,0,Chishti Sharif,34.3375,63.7397,2,BBC Monitoring; Herat TV,Subnational-national,"Taliban fighters and Afghan security forces clashed in Chishti Sharif District, Herat Province, reported on January 4, 2018. 3 Taliban were killed and another wounded; a security official was also wounded.",3
32.6268,65.8733,CON1365265,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,Pajhwok Afghan News,National,"Afghan military forces raided Taliban hideouts in the Kaftar Khan and Hazaragay areas of Tarinkot District, Urozgan Province, reported on January 4, 2018. 7 militants, including a commander, were killed (coded across 2 events) and 3 others wounded. The security forces also defused landmines in the area.",3
