indicative_duration,location,mo1_gender,gender_no,mo2_age,mo3_education,mo4_madrassa,mo5_monthly_income,mo6_local_influence,mo7_basis_for_local_influence,mo8_current_occupation,ms1_impact,ms2_size_of_bribe,ms3_type_of_abuse,ms4_service_with_worst_problem,pd,selected_cohort,stone_name,surveyor,latitude,longitude
31,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,Provincial Official,Strong impact,No payment made,Refusal of service,Filing a case with the courts,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.507318,69.26504779
12,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.50835276,69.26452077
13,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Driver license,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.5083963,69.26423646
20,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.5083963,69.26423646
29,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.50751711,69.2637435
26,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.50751711,69.2637435
26,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,,Other,Strong impact,No payment made,Refusal of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.50751711,69.2637435
24,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,36 - 45,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Driver license,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.50705309,69.26369373
11,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,26 - 35,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Vehicle registration,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.50705309,69.26369373
17,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,26 - 35,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.50705309,69.26369373
19,Kabul PD16 - Qala-e-Ahmad Khan,Female,1,46 - 55,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Other,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.50705309,69.26369373
34,Kabul PD16 - Tapa Zakhel,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Driver license,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.51662632,69.25855977
43,Kabul PD16 - Tapa Zakhel,Female,1,36 - 45,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Refusal of service,Vehicle registration,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.51650746,69.25845882
21,Kabul PD16 - Tapa Zakhel,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,"100,000 Afs",Threat of incarceration,Obtaining a judgement,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.51641848,69.2584403
81,Kabul PD16 - Tapa Zakhel,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.51559964,69.25554018
29,Kabul PD16 - Tapa Zakhel,Female,1,26 - 35,I do not have any formal education,"Yes, some",2000 - 4000 AFN,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 03 - Lailuma (Kabul),34.51538413,69.25258563
31,Kabul PD16 - Tapa Zakhel,Female,1,36 - 45,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Extreme impact,"10,000 Afs",Refusal of service,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 03 - Lailuma (Kabul),34.51538413,69.25258563
28,Kabul PD16 - Tapa Zakhel,Female,1,26 - 35,Primary education,"Yes, on a regular basis","8001 - 10,000 AFN",Yes,Religious Leader,"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 03 - Lailuma (Kabul),34.51574002,69.25235623
16,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Delay of service,Other,PD16,33,Placeholder,Tablet 04 - Marwa (Kabul),34.51027824,69.24968753
18,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Vehicle registration,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.51037397,69.24935797
12,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.5096121,69.24766585
23,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,Secondary education / High School / Institute,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Driver license,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.50839849,69.24577176
20,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.50803035,69.24572412
15,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,Up to 25,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.5079527,69.24503432
21,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,36 - 45,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.5079527,69.24503432
28,Kabul PD16 - Aqab Nasaji Bagrami,Female,1,26 - 35,Secondary education / High School / Institute,No,2000 - 4000 AFN,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.5079324,69.24493103
11,Kabul PD16 - Shahrak Khurasan,Female,1,36 - 45,I do not have any formal education,"Yes, some",4001 - 6000 AFN,No,None of the above,Other,Moderate impact,"1,000 Afs",Delay of service,Tashkera,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52013075,69.23957937
22,Kabul PD16 - Shahrak Khurasan,Female,1,36 - 45,Primary education,No,6001 - 8000 AFN,No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 03 - Lailuma (Kabul),34.51931488,69.23937586
28,Kabul PD16 - Shahrak Khurasan,Female,1,36 - 45,Vocational training after Secondary / High School,"Yes, some","25,001 - 40,000 AFN",Yes,"Respected professional (e.g. Educational, Medical, Technical)",Professional / Manager,Extreme impact,"1,000,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,34,Placeholder,Tablet 03 - Lailuma (Kabul),34.51931488,69.23937586
12,Kabul PD16 - Shahrak Khurasan,Female,1,26 - 35,I do not have any formal education,"Yes, some",2000 - 4000 AFN,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Driver license,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.51993952,69.23937204
18,Kabul PD16 - Shahrak Khurasan,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Filing a case with the courts,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52007475,69.23931697
29,Kabul PD16 - Shahrak Khurasan,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52155858,69.23914348
9,Kabul PD16 - Shahrak Khurasan,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52012219,69.23908206
24,Kabul PD16 - Shahrak Khurasan,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52063562,69.23799138
28,Kabul PD16 - Shahrak Khurasan,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,,Other,Strong impact,No payment made,Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52063562,69.23799138
49,Kabul PD16 - Shahrak Khurasan,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Provincial Official,Strong impact,"10,000 Afs",Payment of money,Driver license,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52063562,69.23799138
40,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,26 - 35,Primary education,"Yes, some","Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 06 - Shahir Ahmad (Kabul),34.52571233,69.22707105
35,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,Tashkera,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52257961,69.2269996
33,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,Tashkera,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52257961,69.2269996
26,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,36 - 45,Primary education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52257961,69.2269996
31,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,36 - 45,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52518823,69.22678658
22,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,Up to 25,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Vehicle registration,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52518823,69.22678658
10,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,Up to 25,Secondary education / High School / Institute,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52518823,69.22678658
51,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,Up to 25,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52518823,69.22678658
13,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,Up to 25,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52338907,69.22645672
14,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,36 - 45,Secondary education / High School / Institute,"Yes, on a regular basis",6001 - 8000 AFN,No,None of the above,Other,Extreme impact,"100,000 Afs",Delay of service,Obtaining a judgement,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52338907,69.22645672
27,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Refusal of service,Other,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52361616,69.22644884
11,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Driver license,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52334915,69.22637636
11,Kabul PD16 - Sarak Bala-e-Qala-e-Zamankhan,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Delay of service,Other,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52288396,69.22615572
12,Kabul PD16 - Dar Az Kocha,Female,1,Up to 25,Primary education,"Yes, on a regular basis",4001 - 6000 AFN,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.5299475,69.22579954
28,Kabul PD16 - Dar Az Kocha,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Delay of service,Driver license,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52989728,69.22562967
30,Kabul PD16 - Dar Az Kocha,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Payment of money,Filing a case with the courts,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52995287,69.22553831
23,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,Up to 25,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.53191312,69.22547618
12,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,36 - 45,Secondary education / High School / Institute,"Yes, some",6001 - 8000 AFN,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.53187443,69.22541682
39,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,Up to 25,I do not have any formal education,No,I prefer not to say,No,,Other,Strong impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.53102478,69.22531871
28,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,,"Unemployed, unpaid worker or retired",Extreme impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.53102478,69.22531871
11,Kabul PD16 - Dar Az Kocha,Female,1,26 - 35,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52978115,69.22527156
73,Kabul PD16 - Dar Az Kocha,Female,1,26 - 35,Secondary education / High School / Institute,No,I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)","Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.5292949,69.22411918
25,Kabul PD16 - Dar Az Kocha,Female,1,26 - 35,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,,"Unemployed, unpaid worker or retired",Strong impact,No payment made,Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.5292949,69.22411918
28,Kabul PD16 - Dar Az Kocha,Female,1,46 - 55,I do not have any formal education,No,"8001 - 10,000 AFN",No,None of the above,Other,Moderate impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 03 - Lailuma (Kabul),34.52942757,69.2239411
28,Kabul PD16 - Dar Az Kocha,Female,1,26 - 35,Primary education,No,6001 - 8000 AFN,No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Obtaining a judgement,PD16,32,Placeholder,Tablet 03 - Lailuma (Kabul),34.52942757,69.2239411
37,Kabul PD16 - Dar Az Kocha,Female,1,26 - 35,Secondary education / High School / Institute,"Yes, some","8001 - 10,000 AFN",No,None of the above,Other,Extreme impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 03 - Lailuma (Kabul),34.52942757,69.2239411
22,Kabul PD16 - Dar Az Kocha,Female,1,46 - 55,I do not have any formal education,No,4001 - 6000 AFN,No,None of the above,Other,Strong impact,"10,000 Afs",Delay of service,District office to obtain official documentation such as land ownership,PD16,33,Placeholder,Tablet 03 - Lailuma (Kabul),34.52942757,69.2239411
20,Kabul PD16 - Qala-e-Shora,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Delay of service,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.53730025,69.22375113
12,Kabul PD16 - Qala-e-Shora,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Vehicle registration,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.53715695,69.22370524
15,Kabul PD16 - Qala-e-Shora,Female,1,26 - 35,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Delay of service,Reporting a offence/crime to the police,PD16,33,Placeholder,Tablet 04 - Marwa (Kabul),34.53687741,69.22368993
23,Kabul PD16 - Qala-e-Shora,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,"100,000 Afs",Delay of service,Filing a case with the courts,PD16,33,Placeholder,Tablet 04 - Marwa (Kabul),34.53715609,69.22368197
12,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52814239,69.22146952
39,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,Up to 25,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Tashkera,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52847921,69.2214337
24,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,36 - 45,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Vehicle registration,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52847921,69.2214337
21,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,26 - 35,Primary education,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52847921,69.2214337
18,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,26 - 35,Secondary education / High School / Institute,No,"Less than 2,000 AFN",No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52847921,69.2214337
8,Kabul PD16 - Naw Abad Dai Khudai Dad,Female,1,36 - 45,I do not have any formal education,"Yes, some",I prefer not to say,No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Filing a case with the courts,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.53010453,69.22109452
139,Kabul PD16 - Pol Pasha,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Vehicle registration,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.53251598,69.21662384
21,Kabul PD16 - Pol Pasha,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.53480563,69.21317986
23,Kabul PD16 - Pol Pasha,Female,1,36 - 45,Primary education,"Yes, some",I prefer not to say,No,None of the above,Paid worker in any sector,Almost no impact,"1,000 Afs",Payment of money,Tashkera,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.53520317,69.21311179
26,Kabul PD16 - Pol Pasha,Female,1,Up to 25,I prefer not to say,I prefer not to say,I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Delay of service,Tashkera,PD16,,Placeholder,Tablet 04 - Marwa (Kabul),34.53501954,69.21271687
12,Kabul PD16 - Naw Abad Samant Khana,Female,1,Up to 25,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52341226,69.21211094
20,Kabul PD16 - Naw Abad Samant Khana,Female,1,26 - 35,Secondary education / High School / Institute,"Yes, on a regular basis",6001 - 8000 AFN,No,None of the above,Other,Strong impact,"100,000 Afs",Payment of money,Filing a case with the courts,PD16,32,Placeholder,Tablet 04 - Marwa (Kabul),34.52338189,69.21208871
30,Kabul PD16 - Naw Abad Samant Khana,Female,1,36 - 45,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"1,000 Afs",Payment of money,Reporting a offence/crime to the police,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52390789,69.21160037
19,Kabul PD16 - Naw Abad Samant Khana,Female,1,26 - 35,Primary education,"Yes, some",I prefer not to say,No,None of the above,Other,Moderate impact,"10,000 Afs",Payment of money,Filing a case with the courts,PD16,31,Placeholder,Tablet 04 - Marwa (Kabul),34.52378087,69.21138558
11,Kabul PD11 - Prohzhe Jaded (315),Female,1,36 - 45,Primary education,No,2000 - 4000 AFN,No,Community Leader,"Unemployed, unpaid worker or retired",Strong impact,"1,000 Afs",Payment of money,Tashkera,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.53076105,69.2092607
21,Kabul PD11 - Prohzhe Jaded (315),Female,1,Up to 25,Secondary education / High School / Institute,"Yes, some",I prefer not to say,No,"Respected professional (e.g. Educational, Medical, Technical)","Unemployed, unpaid worker or retired",Extreme impact,100 Afs,Payment of money,Tashkera,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.53076105,69.2092607
,Kabul PD11 - Prohzhe Jaded (315),Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,No,Business owner (with paid workers),"Unemployed, unpaid worker or retired",Extreme impact,"10,000 Afs",Payment of money,Obtaining a judgement,PD11,32,Placeholder,Tablet 16 - Humaira (Kabul),34.53076105,69.2092607
